Name,Region,Address,Contact,Curriculum
Shantiniketan English Medium School,Andhra pradesh,"Shantiniketan English Medium School,Vidya Nagar Kutagulla, Kadiri, Anantapur, Andhra Pradesh - 515541 ",['08494-224329'],ICSE
Emmaus - Swiss Referral Hospital School,Andhra pradesh,"Emmaus - Swiss Referral Hospital School,P. O. Palamaner L. S. Farm, L.s. Farm, Chittoor, Andhra Pradesh - 517408 ","['08579-254455', '08579-252440']",ICSE
Rishi Valley School,Andhra pradesh,"Rishi Valley School,Rishi Valley, Chittoor, Andhra Pradesh - 517352 ","['08571-280044', '08571-280622']",ICSE
The Peepal Grove School,Andhra pradesh,"The Peepal Grove School,P. O. Gongivaripalli Sadum Mandal, Chittoor, Andhra Pradesh - 517123 ","['08583-202200', '9701085309']",ICSE
Vasishta School,Andhra pradesh,"Vasishta School,Post Box #29 Vidya Nagar, Madanapalle, Chittoor, Andhra Pradesh - 517325 ","['08571-230227', '08571-230886']",ICSE
Vijayavani Residential School,Andhra pradesh,"Vijayavani Residential School,Vijaya Vani Nagar, Chowdepalle, Chittoor, Andhra Pradesh - 517257 ",['08581-208075'],ICSE
Paramjyoti Public School,Andhra pradesh,"Paramjyoti Public School,Near Red Bridge, Amalapuram, East Godavari, Andhra Pradesh - 533201 ",['1985'],ICSE
Sri Sathya Sai Gurukulam English Medium School,Andhra pradesh,"Sri Sathya Sai Gurukulam English Medium School,Rajahmundry, East Godavari, Andhra Pradesh - 533101 ",['0883-2430989'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Gurukulam Road, Rajahmundry, East Godavari, Andhra Pradesh - 533101 ",['0883-2420479'],ICSE
St. Joseph's Convent School,Andhra pradesh,"St. Joseph's Convent School,Church Square Jagannaickpur, Kakinada, East Godavari, Andhra Pradesh - 533002 ","['0884-2384664', '09000498284']",ICSE
The Future Kid's School,Andhra pradesh,"The Future Kid's School,88-1-26 Beside O. N. G. C. Base Complex Kavalagoyya Road, Rajahmundry, East Godavari, Andhra Pradesh - 533107 ","['0883-2466499', '0883-2466699']",ICSE
Little Flower English Medium School,Andhra pradesh,"Little Flower English Medium School,Vidya Nagar, Guntur, Andhra Pradesh - 522007 ","['0863-2350535', '0863-2350161']",ICSE
Loyola Public School,Andhra pradesh,"Loyola Public School,Nallapadu, Loyola Nagar, Guntur, Andhra Pradesh - 522005 ",['loyolapublicschool.org/'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Nidubrolu P. O., Ponnur, Guntur, Andhra Pradesh - 522123 ",['08643-242724'],ICSE
Bhuvanagiri Public School,Andhra pradesh,"Bhuvanagiri Public School,Krishnaveni Nagar Railway Station Kodur, Kukkaladoddi, Kadapa, Andhra Pradesh - 516101 ","['099496-22967', '099496-22982']",ICSE
Queen Mary's School,Andhra pradesh,"Queen Mary's School,Super Bazar Road, Prodatur, Kadapa, Andhra Pradesh - 516360 ",['08564-252620'],ICSE
The Hyderabad Public School,Andhra pradesh,"The Hyderabad Public School,Opposite Rims Putlampalle, Cuddapah, Kadapa, Andhra Pradesh - 516002 ",['2005'],ICSE
S. D. A. Higher Secondary School,Andhra pradesh,"S. D. A. Higher Secondary School,Nuzvid, Krishna, Andhra Pradesh - 521201 ","['08656-232302', '08656-233448']",ICSE
Seventh Day Adventist High School,Andhra pradesh,"Seventh Day Adventist High School,Bunder Road, Vijayawada, Krishna, Andhra Pradesh - 520002 ",['0866-2572284'],ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Ajitsingh Nagar, Vijayawada, Krishna, Andhra Pradesh - 520015 ",['0866-2400884'],ICSE
St. Francis E. M. B High School,Andhra pradesh,"St. Francis E. M. B High School,Machilipatnam, Krishna, Andhra Pradesh - 521002 ","['08672-250742', '08672-250181']",ICSE
Vikasa Vidya Vanam School,Andhra pradesh,"Vikasa Vidya Vanam School,Poranki, Krishna, Andhra Pradesh - 521137 ","['0866-2582494', '09493382494']",ICSE
Heritage Valley The Indian School,Andhra pradesh,"Heritage Valley The Indian School,Papireddyguda Keshampet, Shadnagar, Mahabubnagar, Andhra Pradesh ","['09247074379', '09246366216']",ICSE
Simhapuri Public School,Andhra pradesh,"Simhapuri Public School,Kommare Pudi ( Post ), Nellore, Andhra Pradesh - 524004 ","['0861-2660221', '9391088905']",ICSE
Sree Simhapuri Day School,Andhra pradesh,"Sree Simhapuri Day School,Opposite Telugu Ganga Quarters, Vijayalakshmi Nagar, Nellore, Andhra Pradesh - 524004 ",['0861-2311323'],ICSE
St. Mary's Public School,Andhra pradesh,"St. Mary's Public School,Shanthi Nagar, Kavali, Nellore, Andhra Pradesh - 524201 ","['08626-250877', '08626-243210']",ICSE
Indian Blossoms International School,Andhra pradesh,"Indian Blossoms International School,Kothapatnam Road Near Koppole, Ongole, Prakasam, Andhra Pradesh - 523286 ",['08592-645577'],ICSE
Ongole Public School,Andhra pradesh,"Ongole Public School,Gauthama Nagar Mangamur Road, Ongole, Prakasam, Andhra Pradesh - 523002 ","['08592-233284', '08592-237096']",ICSE
St. ANN's School,Andhra pradesh,"St. ANN's School,Mariampet, Chirala, Prakasam, Andhra Pradesh - 523157 ",['08594-230156'],ICSE
St. ANN's Convent School,Andhra pradesh,"St. ANN's Convent School,P. O. Pathapatnam, Srikakulam, Andhra Pradesh - 532213 ","['08946-255345', '08946-255841']",ICSE
St. Joseph's High School,Andhra pradesh,"St. Joseph's High School,Convent Road, Srikakulam, Andhra Pradesh - 532001 ",['08942-225194'],ICSE
Bethany School,Andhra pradesh,"Bethany School,D. #10-50-29, Waltair Main Road, Visakhapatnam, Andhra Pradesh - 530002 ","['0891-2706121', '0891-2567722']",ICSE
De Paul School,Andhra pradesh,"De Paul School,Sector VIII, Ukkunagaram, Visakhapatnam, Andhra Pradesh - 530032 ","['0891-25109028', '0891-2708271']",ICSE
Fort Catholic Girls' School,Andhra pradesh,"Fort Catholic Girls' School,Old Post Office, Fort, Visakhapatnam, Andhra Pradesh - 530001 ",['0891-2502981'],ICSE
Good Shepherd E. M. School,Andhra pradesh,"Good Shepherd E. M. School,Anakapalle, Visakhapatnam, Andhra Pradesh - 531002 ",['08924-230777'],ICSE
Kotak Salesian School,Andhra pradesh,"Kotak Salesian School,Chinna Waltair, Visakhapatnam, Andhra Pradesh - 530017 ","['0891-2754826', '0891-2713534']",ICSE
Mrs. Mariadas U. P. School,Andhra pradesh,"Mrs. Mariadas U. P. School,Annamma Colony Sriharipuram, Visakhapatnam, Andhra Pradesh - 530011 ","['09885357229', '09346304470']",ICSE
Nava Jeevan Public School,Andhra pradesh,"Nava Jeevan Public School,Charity Center Bhimli P. O. Box #3, Dora Thota, Visakhapatnam, Andhra Pradesh - 531163 ","['0891-2229569', '0891-2228089']",ICSE
Public School,Andhra pradesh,"Public School,M. V. P. Colony, M.v.p. Colony, Visakhapatnam, Andhra Pradesh - 530017 ","['0891-2552718', '0891-2563553']",ICSE
Siva Sivani Public School,Andhra pradesh,"Siva Sivani Public School,#7-1-43 Kirlampudi Layout, Visakhapatnam, Andhra Pradesh - 530023 ",['0891-2550192'],ICSE
Spring Dales Public School,Andhra pradesh,"Spring Dales Public School,2/72 High School Road, New Gajuwaka, Visakhapatnam, Andhra Pradesh - 530026 ",['0891-2517485'],ICSE
St. Aloysius Anglo - Indian High School,Andhra pradesh,"St. Aloysius Anglo - Indian High School,Old Post Office, Visakhapatnam, Andhra Pradesh - 530001 ",['0891-2562837'],ICSE
St. Ann's E. M. School,Andhra pradesh,"St. Ann's E. M. School,Paderu P. O, Visakhapatnam, Andhra Pradesh - 531024 ",['08935-250420'],ICSE
St. Ann's Eng. Med. School,Andhra pradesh,"St. Ann's Eng. Med. School,Butchirajupalem, Visakhapatnam, Andhra Pradesh - 530027 ","['0891-2571037', '0891-2728137']",ICSE
St. Francis School,Andhra pradesh,"St. Francis School,P. O. P. M Palam, Madhura Wada, Visakhapatnam, Andhra Pradesh - 530041 ","['0891-2781481', '0891-2718985']",ICSE
St. John's Parish School,Andhra pradesh,"St. John's Parish School,Thompson Street Near Old Post Office, Visakhapatnam, Andhra Pradesh - 530001 ",['0891-2561334'],ICSE
St. Joseph's Girls' High School,Andhra pradesh,"St. Joseph's Girls' High School,Waltair R. S, Waltair R.s., Visakhapatnam, Andhra Pradesh - 530004 ","['0891-2558279', '0891-2550192']",ICSE
St. Joseph's High School,Andhra pradesh,"St. Joseph's High School,Yendapallivalsa Araku R. S, Araku R.s., Visakhapatnam, Andhra Pradesh - 531151 ",['08936-249005'],ICSE
St. Joseph's Sec. School,Andhra pradesh,"St. Joseph's Sec. School,Malkapuram, Visakhapatnam, Andhra Pradesh - 530011 ",['0891-2741632'],ICSE
Timpany School,Andhra pradesh,"Timpany School,Aseelmetta, Visakhapatnam, Andhra Pradesh - 530003 ","['0891-2755887', '0891-2754419']",ICSE
Flaiz Memorial Higher Secondary School of S.D.A.,Andhra pradesh,"Flaiz Memorial Higher Secondary School of S.D.A.,Rustumbada, Narsapur, West Godavari, Andhra Pradesh - 534271 ","['08814-273905', '08814-273903']",ICSE
Holy Rosary School,Arunachal pradesh,"Holy Rosary School,1 Mile, Laktong, Changlang, Arunachal Pradesh - 792120 ","['03808-223578', '03808-200044']",ICSE
Light of The World School,Arunachal pradesh,"Light of The World School,Miao P. O, Changlang, Arunachal Pradesh - 792122 ",['03807-223282'],ICSE
Newman School,Arunachal pradesh,"Newman School,Neotan Miao Namphai-1, Changlang, Arunachal Pradesh - 792122 ",['03807-200099'],ICSE
Don Bosco School,Arunachal pradesh,"Don Bosco School,Doimukh, Nonpu, Papum Pare, Arunachal Pradesh - 791112 ",['03602001569'],ICSE
Christ King School,Arunachal pradesh,"Christ King School,Khonsa, Tirap, Arunachal Pradesh - 792130 ",['03786-223602'],ICSE
Don Bosco School,Arunachal pradesh,"Don Bosco School,Bosco Nagar, Khonsa, Tirap, Arunachal Pradesh - 786630 ",['03786-223553'],ICSE
St. George's School,Arunachal pradesh,"St. George's School,Deomali, Tirap, Arunachal Pradesh - 786629 ",['Co-ed'],ICSE
Carmel School,Assam,"Carmel School,Cinnamara P. O, Jorhat, Assam - 785008 ",['0376-2360891'],ICSE
Sanskriti The Gurukul,Assam,"Sanskriti The Gurukul,Village Gugh Ahomgaon P. O. Garchuk, Guwahati, Kamrup, Assam - 781035 ","['0361-2270060', '0361-2270070']",ICSE
Don Bosco School,Assam,"Don Bosco School,Sashipur Darranga Mela, Baksa, Nalbari, Assam - 781360 ",['+91 3624-284390'],ICSE
The Assam Valley School,Assam,"The Assam Valley School,P. O. & T. O. Balipara, Assam, Sonitpur, Assam - 784101 ","['09678074320', '09678074321']",ICSE
Carmel School,Assam,"Carmel School,Digboi Upper, Upper Assam, Tinsukia, Assam - 786171 ",['03751-264279'],ICSE
Shiksha The Gurukul,Assam,"Shiksha The Gurukul,N. H. 37 Chotahapjan P. O. Borhapjan, Tinsukia, Assam - 786150 ","['0374-2910263', '03759-215729']",ICSE
St. Joseph's School,Bihar,"St. Joseph's School,Jagatpur, Banka, Bihar - 813102 ",['bi030cisce.org'],ICSE
St. Paul's School,Bihar,"St. Paul's School,Main Road Opposite G. D. College, Begusarai, Bihar - 851101 ",['06243-242360'],ICSE
Carmel School,Bihar,"Carmel School,Post Box #2, Barari Road, Bhagalpur, Bihar - 812003 ",['0641-2400323'],ICSE
Holy Family School,Bihar,"Holy Family School,Bansiticker P.O, Bhagalpur, Bhagalpur, Bihar - 813210 ",['holyfamilyschoolbgp.com/'],ICSE
LD Don Bosco School,Bihar,"LD Don Bosco School,Swami Vivekanand Path, Manik Sarkar, Opposite Town HallBhagalpur, Bhagalpur, Bihar - 812001 ",['2003'],ICSE
Mount Assisi School,Bihar,"Mount Assisi School,13 Mahatma Gandhi Path, Bhagalpur, Bihar - 812001 ","['0641-2451043', '0641-2400316']",ICSE
St. Joseph's School,Bihar,"St. Joseph's School, Pakartalla,Pakartalla, Kahalgaon, Bhagalpur, Bihar - 813203 ",['www.stjosephskahalgaon.com/'],ICSE
St. Joseph's School,Bihar,"St. Joseph's School, T.B. College,P. O. : T. N. B. CollegeDt. Bhagalpur, Bhagalpur, Bihar - 812007 ",['1983'],ICSE
St. Paul's School,Bihar,"St. Paul's School,Karngarh C. T. S. Road, Nathnagar, Bhagalpur, Bihar - 812004 ","['07250077877', '07070221311']",ICSE
St. Teresa's School,Bihar,"St. Teresa's School,Aliganj Near A. I. R. Transmission Khiriband P. O, Bhagalpur, Bihar - 821005 ",['0641-2900359'],ICSE
Madonna English School,Bihar,"Madonna English School,Alalpatti-P. O. D. M. C, Darbhanga, Bihar ",['bi026cisce.org'],ICSE
St. Joseph's School,Bihar,"St. Joseph's School,Jhajha, Jamui, Bihar - 811308 ","['06349-223258', '06349-223888']",ICSE
St. Joseph's School,Bihar,"St. Joseph's School,Mahisouri Chowk Sikandra Road, Jamui, Bihar - 811307 ","['06345-224167', '8294521117']",ICSE
Don Bosco School,Bihar,"Don Bosco School,Mahant Nagar Katihar P. O. & District, Katihar, Bihar - 854105 ",['06452231046'],ICSE
North Point Children's School,Bihar,"North Point Children's School,P. O. Ramna, Sherpur, Narayanpur Anant, Muzaffarpur, Bihar - 842002 ",['1979'],ICSE
Carmel High School,Bihar,"Carmel High School,Bailey Road, Patna, Bihar - 800001 ",['1944'],ICSE
Christ Church High School,Bihar,"Christ Church High School,Congress Maidan, Kadam Kuan, Patna, Bihar - 800003 ","['0612-2687822', '09709385206']",ICSE
Don Bosco Academy,Bihar,"Don Bosco Academy,P. O. Digha Ghat, Patna, Bihar - 800011 ","['0612-2560212', '0612-3294212']",ICSE
International School,Bihar,"International School,Boring Patliputra Road Alpana Market, Patna, Bihar - 800013 ",['bi015cisce.org'],ICSE
Jesus and Mary Academy,Bihar,"Jesus and Mary Academy,Hajiganj Kaimashikoh, Patna, Bihar - 800008 ",['0612-2617128'],ICSE
Lohia Nagar Mount Carmel High School,Bihar,"Lohia Nagar Mount Carmel High School,A/14 (Girl's Wing) Kankarbagh Colony, Patna, Patna, Bihar - 800020 ",['lmcgroupedu.org/'],ICSE
Red Carpet High School,Bihar,"Red Carpet High School,Road #2-A, Rajendra Nagar, Patna, Bihar - 800016 ",['0612-2687795'],ICSE
Rose Bud School,Bihar,"Rose Bud School,Shree Krishna Puri West, Patna, Bihar - 800013 ",['0612-2260695'],ICSE
St. Albert's High School,Bihar,"St. Albert's High School,Patel Nagar, Patna, Bihar - 800023 ","['0612-3206597', '0612-2281145']",ICSE
St. John's High School,Bihar,"St. John's High School,East Boring Canal Road, Patna, Bihar - 800001 ",['0612-2522813'],ICSE
St. Joseph's Convent High School,Bihar,"St. Joseph's Convent High School,P. O. Bankipore, Patna, Bihar - 800004 ","['0612-2302620', '0612-2301363']",ICSE
St. Joseph's Convent High School,Bihar,"St. Joseph's Convent High School,Jethuli, Patna, Bihar - 803201 ","['08002795844', '0612-2440998']",ICSE
St. M. G. Public School,Bihar,"St. M. G. Public School,Mithapur, Kannu Lal Road, Patna, Bihar - 800001 ",['0612-2232767'],ICSE
St. Paul's Academy,Bihar,"St. Paul's Academy,M/6 Shree Krishna Nagar, Patna, Bihar - 800001 ","['0612-2531875', '0612-2520640']",ICSE
St. Paul's High School,Bihar,"St. Paul's High School,Fair Field Colony Digha, Patna, Bihar - 800011 ","['0612-2260934', '0612-3294714']",ICSE
St. Xavier's High School,Bihar,"St. Xavier's High School,West Gandhi Maidan, Gandhi Maidan Marg, Patna, Bihar - 800001 ",['0612-2219563'],ICSE
The Bishop's Heritage School,Bihar,"The Bishop's Heritage School,P. O. & Village-Anandpur Beside Homeguard Camp, Patna, Bihar - 801103 ",['09386529835'],ICSE
Gems English School,Bihar,"Gems English School,Dehri-On-Sone, Rohtas, Bihar - 821307 ","['06184-234112', '06184-234134']",ICSE
St. Stephen's School,Chandigarh,"St. Stephen's School,Sector 45-B, Chandigarh - 160047 ","['0172-2605767', '0172-2664547']",ICSE
St. Xavier's Senior Secondary School,Chandigarh,"St. Xavier's Senior Secondary School,Sector 44-C, Chandigarh - 160047 ","['0172-2601706', '0172-2607079']",ICSE
Strawberry Fields World School,Chandigarh,"Strawberry Fields World School,Sector 26, Chandigarh - 160019 ","['0172-2795903', '0172-2795904']",ICSE
Tender Heart School,Chandigarh,"Tender Heart School,Opposite H. #670 Sector 33-B, Chandigarh - 160020 ","['0172-2607524', '0172-2609622']",ICSE
Jesus & Mary School And College,Chhattisgarh,"Jesus & Mary School And College,Tulsi Park, Balrampur, Chhattisgarh - 271201 ","['05263-232278', '05263-233533']",ICSE
Starwards Public School,Chhattisgarh,"Starwards Public School,Near Kanshiram Colony Purani Bazar, Tulsipur, Balrampur, Chhattisgarh - 271208 ",['09415072004'],ICSE
Deepti Convent School,Chhattisgarh,"Deepti Convent School,Aghanpur Dhrampura, Jagdalpur, Bastar, Chhattisgarh - 494005 ","['07782-229475', '07782-229315']",ICSE
Nirmal Niketan School,Chhattisgarh,"Nirmal Niketan School,Karli South --494 449, Dantewada, Bastar, Chhattisgarh ","['07856-202353', '07856-202205']",ICSE
Prakash Vidyalaya,Chhattisgarh,"Prakash Vidyalaya,Bacheli South --494 553, Dantewada, Bastar, Chhattisgarh - 494553 ",['07857-230248'],ICSE
Prakash Vidyalaya,Chhattisgarh,"Prakash Vidyalaya, Kirandul ,Kirandul Bailadila South --494 556, Dantewada, Bastar, Chhattisgarh - 494556 ",['07857-255969'],ICSE
St. Xavier's High School,Chhattisgarh,"St. Xavier's High School,Chandni Chowk Saheed Park Road, Jagadalpur, Bastar, Chhattisgarh - 494001 ","['07782-231166', '07782-223340']",ICSE
St. Xavier's Senior Secondary School,Chhattisgarh,"St. Xavier's Senior Secondary School,Civil Court Road, Dhamtari, Chhattisgarh - 493773 ","['07722-237099', '07722-235280']",ICSE
St. Xavier's High School,Chhattisgarh,"St. Xavier's High School,Borsi-Dhanora Road P. O. Haunoda, Durg, Chhattisgarh - 491001 ","['0788-6450577', '0788-2410746']",ICSE
Carmel Convent Senior Secondary School,Chhattisgarh,"Carmel Convent Senior Secondary School,Raigarh, Chhattisgarh - 496001 ","['07762-232210', '07762-232263']",ICSE
Carmel Public School,Chhattisgarh,"Carmel Public School,Tulsi Tilda, Raipur, Chhattisgarh - 493114 ","['07721-237459', '09424211994']",ICSE
M. S. B. Educational Institute,Chhattisgarh,"M. S. B. Educational Institute,Opposite Dr. Virdi C. T. Scan M. G. Road, Raipur, Chhattisgarh - 492001 ",['0771-2233986'],ICSE
Rajkumar College,Chhattisgarh,"Rajkumar College,G. E. Road, G.e. Road, Raipur, Chhattisgarh - 492013 ","['0771-4701051', '0771-4701067']",ICSE
Sacred Heart High School,Chhattisgarh,"Sacred Heart High School,Baloda Bazar, Raipur, Chhattisgarh - 493332 ",['07727-222190'],ICSE
Salem English School,Chhattisgarh,"Salem English School,P. O. Box #46, Raipur, Chhattisgarh - 492001 ",['0771-2234249'],ICSE
St. Xavier's High School,Chhattisgarh,"St. Xavier's High School,Near Avanti Vihar Colony Labhandi P. O. Ravigram, P.o. Ravigram, Raipur, Chhattisgarh - 492006 ","['0771-2442582', '0771-2442142']",ICSE
The Radiant Way School,Chhattisgarh,"The Radiant Way School,Behind Pt. Ravi Shanker Shukla University, Raipur, Chhattisgarh - 492010 ","['771-2263566', '771-2263511']",ICSE
Royal Kids' Convent,Chhattisgarh,"Royal Kids' Convent,Lalbagh G. E. Road, G.e. Road, Rajnandgaon, Chhattisgarh - 491441 ",['07744-225493'],ICSE
Carmel Convent Eng. Med. High School,Chhattisgarh,"Carmel Convent Eng. Med. High School,Post Office, Bishrampur, Surajpur, Chhattisgarh - 497226 ",['07775-264381'],ICSE
Swami Hariharanand Public School,Delhi,"Swami Hariharanand Public School,Yamuna Bazar, Delhi, North Delhi, Delhi - 110006 ","['011-23861517', '011-23864780']",ICSE
The Frank Anthony Public School,Delhi,"The Frank Anthony Public School,Lajpat Nagar - IV, South Delhi, Delhi - 110024 ",['fapsnewdelhi.net/'],ICSE
Sharada Mandir School,Goa,"Sharada Mandir School,Miramar, Panaji, North Goa, Goa - 403001 ","['0832-2463401', '0832-2463405']",ICSE
Manovikas English Medium School,Goa,"Manovikas English Medium School,Sonsoddo Gogol Fatorda, Margao, South Goa, Goa - 403602 ","['08322759696', '08975763864']",ICSE
Mater Dei Institution,Goa,"Mater Dei Institution,Sali Gao, Bardez, South Goa, Goa - 403511 ",['0832-2278381'],ICSE
Anand Niketan,Gujarat,"Anand Niketan, Satellite,B/h Novotel Hotel, Nr Asawari Tower, Off S.G Road, Satellite, Ahmedabad, Gujarat - 380015 ",['anandniketan.org/'],ICSE
Anand Niketan,Gujarat,"Anand Niketan, Shilaj,Nr Ambli Railway Crossing, Thaltej, Shilaj, Ahmedabad, Gujarat - 380058 ",['anandniketan.org/'],ICSE
Divine International School,Gujarat,"Divine International School,-Naroda Road Near Shukan Bungalows, Nikol, Ahmedabad, Gujarat - 382350 ","['079-65212362', '09879208500']",ICSE
Eklavya School,Gujarat,"Eklavya School,Village Sanathal P. O. Sarkhej, Ahmedabad, Gujarat - 382210 ","['2717-294227', '079-26461629']",ICSE
J.G. International School,Gujarat,"J.G. International School,Jg Campus of Excellence, Off Sola Road, Ahmedabad, Gujarat - 380061 ",['www.jgcampusindia.com/'],ICSE
Lalji Mehrotra Lions School,Gujarat,"Lalji Mehrotra Lions School,At. Ognaj Near Lions Eye Hospital Office Sarkhej-Gandhinagar Highway, Ahmedabad, Gujarat - 380060 ","['02717-244201', '02717-244204']",ICSE
Madhav International School,Gujarat,"Madhav International School,Pranaminagar Vastral Ahmedabad, Ahmedabad, Gujarat - 382418 ",['079-65495620'],ICSE
S. G. V. P. International School,Gujarat,"S. G. V. P. International School,Sarkhej-Gandhinagar Highway, Chharodi, Ahmedabad, Gujarat - 382481 ","['02717-242138', '02717-242139']",ICSE
S.D.A. Higher Secondary School,Gujarat,"S.D.A. Higher Secondary School,132 Ft. Ring Road Haripura, Maninagar East, Ahmedabad, Gujarat - 380008 ","['079-25861452/53', '079-25858377']",ICSE
The New Tulip International School,Gujarat,"The New Tulip International School,Sterling City Bopal, Ahmedabad, Gujarat - 380058 ",['www.thetulipschool.com/'],ICSE
Zydus School For Excellence,Gujarat,"Zydus School For Excellence, Vejalpur,Near Alka Park Bus Stop, Vejalpur, Jivraj park, Ahmedabad, Gujarat - 380051 ",['zydusschool.org/vejalpur.html'],ICSE
Smt. S. M. Vaghasia English Medium School,Gujarat,"Smt. S. M. Vaghasia English Medium School,Chakkargadh Road, Amreli, Gujarat - 365601 ",['02792-232321-6'],ICSE
Queen of Angels' Convent Higher Secondary School,Gujarat,"Queen of Angels' Convent Higher Secondary School,At & P. O. Vadadla, Bharuch, Bharuch, Gujarat - 392001 ","['02642-230837', '02642-232989']",ICSE
Amarjyoti Saraswati International School,Gujarat,"Amarjyoti Saraswati International School,Kalvibid, Bhavnagar, Gujarat ",['gu011cisce.org'],ICSE
Mother Teresa World School,Gujarat,"Mother Teresa World School,663 Vadsar Near Air Force Station Gandhinagar, Gandhinagar, Gujarat - 382721 ","['02764-650101', '02764-650202']",ICSE
Swaminarayan Dham International School,Gujarat,"Swaminarayan Dham International School,Dholakuva Road P. O. Indroda, Gandhinagar, Gujarat - 382009 ","['079-23213299', '079-23213954']",ICSE
S.N.V. International School,Gujarat,"S.N.V. International School,Snv Campus, -Uttarsanda-Bhumel Road, Nadiad, Kheda, Gujarat ",['www.snvschool.org/'],ICSE
Seventh-day Adventist Higher Secondary School,Gujarat,"Seventh-day Adventist Higher Secondary School,Shyamnagar 3, Vijalpur, Navsari, Gujarat - 396450 ",['0712-2529757'],ICSE
M. S. B. Educational Institute,Gujarat,"M. S. B. Educational Institute,At & P. O. St Taluk Godhra s-389 001, Lilisra, Panchmahal, Gujarat ","['02672-240638', '02672-243114']",ICSE
AL Madrasa Tus Saifiya Tul Burhaniah,Gujarat,"AL Madrasa Tus Saifiya Tul Burhaniah,Mohammadi Baug Opposite Railway Station, Junction Road, Rajkot, Gujarat - 360001 ",['0281-2446461'],ICSE
S.N. Kansagra School,Gujarat,"S.N. Kansagra School,University Road, Rajkot, Gujarat - 360005 ","['0281-2588391-95', '0281-2576309']",ICSE
Saint Paul's School,Gujarat,"Saint Paul's School,P. B. #1519 Saurashtra University P. O, Rajkot, Gujarat - 360005 ",['0281-2587759'],ICSE
Angel English Medium School,Gujarat,"Angel English Medium School,Plot #97 Tadkuwa Village, Vyara, Surat, Gujarat - 394650 ",[''],ICSE
Metas MCD School of Seventh-day Adventists,Gujarat,"Metas MCD School of Seventh-day Adventists,Post Box #24, Athwa Lines, Surat, Gujarat - 395001 ",['0261-2667592'],ICSE
Ryan International School,Gujarat,"Ryan International School,NH-6, Tapti Railway Crossing Block #282, Village Kareli Taluka, Dumas Road, Surat, Gujarat - 394310 ",['gu012cisce.org'],ICSE
Ryan International School,Gujarat,"Ryan International School,NH-6 Tapti Railway Crossing Block #282 Village Kareli, Taluka Palsana, Surat, Gujarat ",['gu023cisce.org'],ICSE
Seventh Day Adventist High School,Gujarat,"Seventh Day Adventist High School,Tichakpura, Vyara, Surat, Gujarat - 394650 ","['02626-222364', '02626-223903']",ICSE
Billabong High International School,Gujarat,"Billabong High International School,Vadsar Kalali Ring Road Opposite B. P. Petrol Pump, Near Royal Acres, Vadodara, Gujarat - 390010 ","['0265-2630800', '0265-2633398']",ICSE
Nalanda International School,Gujarat,"Nalanda International School,Sevasi-Mahapura Road, Vadodara, Gujarat - 391101 ",['gu016cisce.org'],ICSE
Vibgyor High,Gujarat,"Vibgyor High,Opposite Banco Products, Padra Road, Behind Bhayali Railway Station, Vadodara –, Gujrat, Vadodara, Gujarat - 391410 ",['2004'],ICSE
Atul Vidyalaya,Gujarat,"Atul Vidyalaya,At & P. O., Atul, Valsad, Gujarat - 396020 ",['02632-233317'],ICSE
Vapi Public School,Gujarat,"Vapi Public School,Survey #574/1 Vatar Main Road Vatar, Vapi, Valsad, Gujarat - 396191 ",['0260-2995077'],ICSE
Bell Toll Public School,Haryana,"Bell Toll Public School,Industrial Area G. T. Road, Ambala City, Ambala, Haryana - 134002 ","['0171-2540703', '0171-2441064']",ICSE
St. Paul's High School,Haryana,"St. Paul's High School,111 Model Town City, Ambala City, Ambala, Haryana ",['ha001cisce.org'],ICSE
Jiva Public School,Haryana,"Jiva Public School,Sector 21-B, Faridabad, Haryana - 121001 ","['0129-4294802', '0129-4294804']",ICSE
Euro International School,Haryana,"Euro International School,Sector-45, Gurgaon, Haryana ",['ha024cisce.org'],ICSE
Golden Heights School,Haryana,"Golden Heights School,Plot #4 Sector 56, Gurgaon, Haryana - 122001 ","['0124-2572802', '0124-2572803']",ICSE
Lord Jesus Public School,Haryana,"Lord Jesus Public School,Vijay Park, Gurgaon, Haryana - 122001 ","['0124-2320525', '0124-2307725']",ICSE
LT. Atul Katarya Memorial School,Haryana,"LT. Atul Katarya Memorial School,Opposite C. R. P. F. Camp, Gurgaon, Haryana - 122001 ","['0124-2312580', '0124-4238225']",ICSE
Rishi Public School,Haryana,"Rishi Public School,Sector-31, Gurgaon, Haryana - 122001 ","['0124-2381891', '0124-2581116']",ICSE
Scottish High International School,Haryana,"Scottish High International School,G-Block Sushant Lok II, Sector 57, Gurgaon, Haryana - 122011 ",['ha027cisce.org'],ICSE
Shikshantar Sr. Sec. School,Haryana,"Shikshantar Sr. Sec. School,J-Block South City I, Gurgaon, Haryana - 122001 ","['0124-4889100', '0124-2580538']",ICSE
The Banyan Tree World School,Haryana,"The Banyan Tree World School,Dlf Golf Course Road Plot #70, Sector 53, Gurgaon, Haryana - 122003 ","['0124-6675755', '0124-3354452']",ICSE
